node_id,alu,stage,sram,pipeline
0,16,4,276480,2
1,16,4,276480,2
2,16,4,276480,2
3,16,4,276480,2
4,16,4,276480,2
5,16,4,276480,2
6,16,4,276480,2
7,16,4,276480,2
8,16,4,276480,2
9,16,4,276480,2
10,16,4,276480,2
11,16,4,276480,2
12,16,4,276480,2
13,16,4,276480,2
14,16,4,276480,2
15,16,4,276480,2
16,16,4,276480,2
17,16,4,276480,2
18,16,4,276480,2
19,16,4,276480,2
20,16,4,276480,2
21,16,4,276480,2
22,16,4,276480,2
23,16,4,276480,2
24,16,4,276480,2
25,16,4,276480,2
26,16,4,276480,2
27,16,4,276480,2
28,16,4,276480,2
29,16,4,276480,2
30,16,4,276480,2
31,16,4,276480,2
32,16,4,276480,2
33,16,4,276480,2
34,16,4,276480,2
35,16,4,276480,2
36,16,4,276480,2
37,16,4,276480,2
38,16,4,276480,2
39,16,4,276480,2
40,16,4,276480,2
41,16,4,276480,2
42,16,4,276480,2
43,16,4,276480,2
44,16,4,276480,2
45,16,4,276480,2
46,16,4,276480,2
47,16,4,276480,2
48,16,4,276480,2
49,16,4,276480,2
50,16,4,276480,2
51,16,4,276480,2
52,16,4,276480,2
53,16,4,276480,2
54,16,4,276480,2
55,16,4,276480,2
56,16,4,276480,2
57,16,4,276480,2
58,16,4,276480,2
59,16,4,276480,2
60,16,4,276480,2
61,16,4,276480,2
62,16,4,276480,2
63,16,4,276480,2
64,16,4,276480,2
65,16,4,276480,2
66,16,4,276480,2
67,16,4,276480,2
68,16,4,276480,2
69,16,4,276480,2
70,16,4,276480,2
71,16,4,276480,2
72,16,4,276480,2
73,16,4,276480,2
74,16,4,276480,2
75,16,4,276480,2
76,16,4,276480,2
77,16,4,276480,2
78,16,4,276480,2
79,16,4,276480,2
80,16,4,276480,2
81,16,4,276480,2
82,16,4,276480,2
83,16,4,276480,2
